respID,qID,altID,obsID,Price,Calories,Vitamins,Sugar,AlcoholContent,Material,Brand,image
1,1,1,1,19,80,No Vitamins,1,4,Glass Bottle,Michelob Ultra,ultra_bottle.png
1,1,2,1,19,100,No Vitamins,0,5,Aluminum Can,Vizzy,vizzy.png
1,1,3,1,18.5,90,No Vitamins,1,7,Aluminum Can,Cacti,cacti.png
1,2,1,2,18,90,Vitamins,1,4,Glass Bottle,Truly,truly_bottle.png
1,2,2,2,19,90,No Vitamins,0,7,Glass Bottle,Truly,truly_bottle.png
1,2,3,2,19,90,Vitamins,0,4,Glass Bottle,Cacti,cacti_bottle.png
1,3,1,3,18,80,Vitamins,0,5,Glass Bottle,Vizzy,vizzy_bottle.png
1,3,2,3,18,90,Vitamins,2,7,Aluminum Can,Michelob Ultra,ultra.png
1,3,3,3,18,100,No Vitamins,2,5,Aluminum Can,Michelob Ultra,ultra.png
1,4,1,4,18.5,90,No Vitamins,0,7,Aluminum Can,Michelob Ultra,ultra.png
1,4,2,4,18,80,Vitamins,0,4,Aluminum Can,AMC Seltzer,AMC.png
1,4,3,4,18,100,No Vitamins,2,7,Aluminum Can,Truly,truly.png
1,5,1,5,18,100,No Vitamins,1,7,Glass Bottle,AMC Seltzer,AMC_bottle.png
1,5,2,5,18.5,100,No Vitamins,1,7,Glass Bottle,Michelob Ultra,ultra_bottle.png
1,5,3,5,18.5,100,No Vitamins,0,5,Aluminum Can,Cacti,cacti.png
1,6,1,6,18,80,Vitamins,2,4,Aluminum Can,Cacti,cacti.png
1,6,2,6,18.5,100,Vitamins,1,4,Aluminum Can,Michelob Ultra,ultra.png
1,6,3,6,18,80,Vitamins,1,7,Glass Bottle,Vizzy,vizzy_bottle.png
1,7,1,7,18,100,Vitamins,2,4,Glass Bottle,AMC Seltzer,AMC_bottle.png
1,7,2,7,18.5,90,Vitamins,0,5,Aluminum Can,Truly,truly.png
1,7,3,7,19,100,No Vitamins,0,4,Aluminum Can,Truly,truly.png
1,8,1,8,19,100,Vitamins,1,7,Glass Bottle,Truly,truly_bottle.png
1,8,2,8,18,90,Vitamins,0,5,Glass Bottle,Truly,truly_bottle.png
1,8,3,8,18.5,100,Vitamins,0,4,Aluminum Can,AMC Seltzer,AMC.png
2,1,1,9,18,100,No Vitamins,1,7,Aluminum Can,Truly,truly.png
2,1,2,9,19,80,No Vitamins,2,7,Glass Bottle,Truly,truly_bottle.png
2,1,3,9,19,100,No Vitamins,1,5,Aluminum Can,AMC Seltzer,AMC.png
2,2,1,10,19,80,Vitamins,1,4,Glass Bottle,Cacti,cacti_bottle.png
2,2,2,10,18.5,100,Vitamins,1,4,Aluminum Can,Cacti,cacti.png
2,2,3,10,18.5,90,Vitamins,1,5,Aluminum Can,AMC Seltzer,AMC.png
2,3,1,11,18.5,80,No Vitamins,1,5,Glass Bottle,Michelob Ultra,ultra_bottle.png
2,3,2,11,19,80,No Vitamins,2,5,Glass Bottle,Michelob Ultra,ultra_bottle.png
2,3,3,11,19,90,Vitamins,1,5,Glass Bottle,Michelob Ultra,ultra_bottle.png
2,4,1,12,18.5,90,No Vitamins,2,5,Aluminum Can,Cacti,cacti.png
2,4,2,12,18,80,Vitamins,0,7,Glass Bottle,Cacti,cacti_bottle.png
2,4,3,12,19,90,Vitamins,0,7,Glass Bottle,Truly,truly_bottle.png
2,5,1,13,18,100,No Vitamins,2,4,Glass Bottle,AMC Seltzer,AMC_bottle.png
2,5,2,13,18.5,80,No Vitamins,2,5,Aluminum Can,Vizzy,vizzy.png
2,5,3,13,19,100,Vitamins,0,5,Glass Bottle,AMC Seltzer,AMC_bottle.png
2,6,1,14,18.5,100,Vitamins,0,4,Aluminum Can,Cacti,cacti.png
2,6,2,14,19,80,No Vitamins,0,7,Glass Bottle,Truly,truly_bottle.png
2,6,3,14,19,90,No Vitamins,0,4,Glass Bottle,Truly,truly_bottle.png
2,7,1,15,19,100,No Vitamins,0,4,Aluminum Can,Cacti,cacti.png
2,7,2,15,18,100,Vitamins,0,7,Aluminum Can,Vizzy,vizzy.png
2,7,3,15,19,100,Vitamins,0,4,Aluminum Can,AMC Seltzer,AMC.png
2,8,1,16,18,100,Vitamins,1,4,Glass Bottle,AMC Seltzer,AMC_bottle.png
2,8,2,16,18.5,90,No Vitamins,1,5,Aluminum Can,Cacti,cacti.png
2,8,3,16,18,80,Vitamins,1,5,Glass Bottle,Michelob Ultra,ultra_bottle.png
3,1,1,17,19,100,No Vitamins,0,4,Glass Bottle,Cacti,cacti_bottle.png
3,1,2,17,18.5,90,No Vitamins,0,4,Glass Bottle,Michelob Ultra,ultra_bottle.png
3,1,3,17,18.5,80,Vitamins,1,7,Glass Bottle,Cacti,cacti_bottle.png
3,2,1,18,18,80,Vitamins,2,7,Glass Bottle,AMC Seltzer,AMC_bottle.png
3,2,2,18,19,80,No Vitamins,1,7,Glass Bottle,Cacti,cacti_bottle.png
3,2,3,18,18.5,100,Vitamins,0,7,Glass Bottle,Truly,truly_bottle.png
3,3,1,19,18.5,80,No Vitamins,0,7,Glass Bottle,Truly,truly_bottle.png
3,3,2,19,18,100,Vitamins,2,7,Glass Bottle,Michelob Ultra,ultra_bottle.png
