respID,qID,altID,obsID,price,calories,vitamins,sugar,alcoholContent,material,image
1,1,1,1,18,100,No Vitamins,0,4,Glass Bottle,bottle.png
1,1,2,1,15,90,Vitamins,1,7,Aluminum Can,can.png
1,1,3,1,21,100,No Vitamins,1,4,Aluminum Can,can.png
1,2,1,2,15,80,Vitamins,1,4,Glass Bottle,bottle.png
1,2,2,2,21,100,No Vitamins,1,4,Aluminum Can,can.png
1,2,3,2,21,80,Vitamins,1,5,Glass Bottle,bottle.png
1,3,1,3,21,80,No Vitamins,0,4,Aluminum Can,can.png
1,3,2,3,18,90,No Vitamins,1,5,Aluminum Can,can.png
1,3,3,3,15,100,No Vitamins,2,5,Aluminum Can,can.png
1,4,1,4,15,80,No Vitamins,0,5,Glass Bottle,bottle.png
1,4,2,4,21,80,No Vitamins,1,7,Glass Bottle,bottle.png
1,4,3,4,15,100,Vitamins,0,5,Aluminum Can,can.png
1,5,1,5,18,80,Vitamins,1,7,Glass Bottle,bottle.png
1,5,2,5,15,100,Vitamins,0,5,Aluminum Can,can.png
1,5,3,5,21,100,Vitamins,1,4,Aluminum Can,can.png
1,6,1,6,21,90,Vitamins,2,4,Aluminum Can,can.png
1,6,2,6,15,100,Vitamins,0,5,Aluminum Can,can.png
1,6,3,6,21,90,Vitamins,0,5,Glass Bottle,bottle.png
1,7,1,7,18,100,No Vitamins,0,4,Glass Bottle,bottle.png
1,7,2,7,18,100,No Vitamins,1,4,Glass Bottle,bottle.png
1,7,3,7,21,100,Vitamins,0,4,Aluminum Can,can.png
1,8,1,8,15,100,No Vitamins,1,5,Aluminum Can,can.png
1,8,2,8,21,100,Vitamins,2,5,Aluminum Can,can.png
1,8,3,8,18,90,Vitamins,2,4,Glass Bottle,bottle.png
2,1,1,9,18,80,Vitamins,2,4,Aluminum Can,can.png
2,1,2,9,21,80,No Vitamins,0,7,Aluminum Can,can.png
2,1,3,9,21,90,Vitamins,0,5,Glass Bottle,bottle.png
2,2,1,10,15,90,No Vitamins,1,5,Glass Bottle,bottle.png
2,2,2,10,15,90,No Vitamins,0,4,Glass Bottle,bottle.png
2,2,3,10,21,90,No Vitamins,2,4,Glass Bottle,bottle.png
2,3,1,11,18,90,No Vitamins,0,7,Aluminum Can,can.png
2,3,2,11,15,100,No Vitamins,1,5,Aluminum Can,can.png
2,3,3,11,21,90,No Vitamins,0,7,Glass Bottle,bottle.png
2,4,1,12,15,80,Vitamins,2,7,Glass Bottle,bottle.png
2,4,2,12,18,100,No Vitamins,1,4,Glass Bottle,bottle.png
2,4,3,12,15,100,Vitamins,2,7,Glass Bottle,bottle.png
2,5,1,13,18,80,No Vitamins,2,5,Aluminum Can,can.png
2,5,2,13,21,80,No Vitamins,0,7,Aluminum Can,can.png
2,5,3,13,15,80,No Vitamins,0,4,Aluminum Can,can.png
2,6,1,14,21,90,Vitamins,2,4,Aluminum Can,can.png
2,6,2,14,18,100,No Vitamins,0,5,Glass Bottle,bottle.png
2,6,3,14,15,90,Vitamins,0,7,Aluminum Can,can.png
2,7,1,15,21,80,No Vitamins,1,7,Aluminum Can,can.png
2,7,2,15,21,100,Vitamins,2,5,Aluminum Can,can.png
2,7,3,15,21,100,Vitamins,0,5,Glass Bottle,bottle.png
2,8,1,16,15,100,No Vitamins,2,4,Glass Bottle,bottle.png
2,8,2,16,21,100,Vitamins,2,5,Aluminum Can,can.png
2,8,3,16,18,90,Vitamins,2,4,Glass Bottle,bottle.png
3,1,1,17,15,90,No Vitamins,1,5,Glass Bottle,bottle.png
3,1,2,17,18,80,Vitamins,2,4,Aluminum Can,can.png
3,1,3,17,15,80,No Vitamins,2,4,Aluminum Can,can.png
3,2,1,18,18,80,Vitamins,1,7,Glass Bottle,bottle.png
3,2,2,18,18,90,No Vitamins,2,5,Aluminum Can,can.png
3,2,3,18,18,90,Vitamins,0,5,Glass Bottle,bottle.png
3,3,1,19,18,90,No Vitamins,1,5,Aluminum Can,can.png
3,3,2,19,18,90,Vitamins,0,5,Glass Bottle,bottle.png
3,3,3,19,15,80,Vitamins,2,7,Glass Bottle,bottle.png
3,4,1,20,21,100,Vitamins,2,5,Aluminum Can,can.png
3,4,2,20,15,100,No Vitamins,2,7,Glass Bottle,bottle.png
3,4,3,20,21,90,Vitamins,2,4,Aluminum Can,can.png
3,5,1,21,18,100,No Vitamins,1,7,Aluminum Can,can.png
3,5,2,21,21,100,Vitamins,0,5,Glass Bottle,bottle.png
3,5,3,21,21,80,No Vitamins,0,4,Aluminum Can,can.png
3,6,1,22,21,100,Vitamins,2,5,Aluminum Can,can.png
3,6,2,22,21,80,No Vitamins,1,5,Glass Bottle,bottle.png
3,6,3,22,18,100,No Vitamins,0,4,Glass Bottle,bottle.png
3,7,1,23,18,100,Vitamins,0,7,Aluminum Can,can.png
3,7,2,23,21,80,Vitamins,1,5,Glass Bottle,bottle.png
3,7,3,23,21,100,Vitamins,0,4,Aluminum Can,can.png
3,8,1,24,18,100,Vitamins,0,7,Aluminum Can,can.png
3,8,2,24,18,80,No Vitamins,2,5,Aluminum Can,can.png
3,8,3,24,21,100,Vitamins,0,5,Glass Bottle,bottle.png
4,1,1,25,21,90,Vitamins,0,5,Glass Bottle,bottle.png
4,1,2,25,21,100,Vitamins,2,7,Glass Bottle,bottle.png
4,1,3,25,15,90,Vitamins,1,7,Aluminum Can,can.png
4,2,1,26,18,80,Vitamins,2,4,Aluminum Can,can.png
4,2,2,26,15,80,No Vitamins,0,4,Aluminum Can,can.png
4,2,3,26,15,100,No Vitamins,2,4,Glass Bottle,bottle.png
4,3,1,27,18,80,Vitamins,0,4,Glass Bottle,bottle.png
4,3,2,27,18,80,No Vitamins,2,5,Aluminum Can,can.png
4,3,3,27,21,100,Vitamins,0,5,Glass Bottle,bottle.png
4,4,1,28,15,90,Vitamins,0,7,Aluminum Can,can.png
4,4,2,28,21,100,Vitamins,2,5,Aluminum Can,can.png
4,4,3,28,15,100,No Vitamins,2,4,Glass Bottle,bottle.png
4,5,1,29,15,100,No Vitamins,2,7,Glass Bottle,bottle.png
4,5,2,29,18,80,Vitamins,2,4,Aluminum Can,can.png
4,5,3,29,18,80,Vitamins,1,7,Glass Bottle,bottle.png
4,6,1,30,15,80,No Vitamins,0,5,Glass Bottle,bottle.png
4,6,2,30,18,90,No Vitamins,1,5,Aluminum Can,can.png
4,6,3,30,15,100,No Vitamins,2,5,Aluminum Can,can.png
4,7,1,31,21,100,Vitamins,2,5,Aluminum Can,can.png
4,7,2,31,18,90,No Vitamins,2,7,Glass Bottle,bottle.png
4,7,3,31,21,80,No Vitamins,1,7,Aluminum Can,can.png
4,8,1,32,21,80,No Vitamins,1,7,Glass Bottle,bottle.png
4,8,2,32,15,100,No Vitamins,2,7,Glass Bottle,bottle.png
4,8,3,32,21,100,Vitamins,0,5,Glass Bottle,bottle.png
5,1,1,33,18,80,Vitamins,1,7,Glass Bottle,bottle.png
5,1,2,33,18,100,No Vitamins,1,7,Aluminum Can,can.png
5,1,3,33,15,100,Vitamins,2,7,Glass Bottle,bottle.png
5,2,1,34,18,80,Vitamins,2,4,Aluminum Can,can.png
5,2,2,34,15,100,Vitamins,2,7,Glass Bottle,bottle.png
5,2,3,34,15,90,Vitamins,1,5,Aluminum Can,can.png
5,3,1,35,21,100,Vitamins,2,5,Aluminum Can,can.png
5,3,2,35,15,80,Vitamins,2,7,Glass Bottle,bottle.png
5,3,3,35,15,100,Vitamins,0,5,Aluminum Can,can.png
5,4,1,36,15,100,No Vitamins,1,5,Aluminum Can,can.png
5,4,2,36,15,100,No Vitamins,2,7,Glass Bottle,bottle.png
5,4,3,36,15,90,No Vitamins,0,4,Glass Bottle,bottle.png
5,5,1,37,15,80,No Vitamins,2,4,Aluminum Can,can.png
5,5,2,37,21,90,Vitamins,0,5,Glass Bottle,bottle.png
5,5,3,37,18,80,Vitamins,2,5,Aluminum Can,can.png
5,6,1,38,18,100,Vitamins,0,7,Aluminum Can,can.png
